users,throughput,avg_response,error_pct
1,0.41,37.00,0.00
2,0.77,28.80,0.00
3,1.12,33.47,0.00
5,1.84,30.60,0.00
7,2.55,33.06,0.00
10,3.62,30.54,0.00
15,5.40,33.19,0.00
20,7.21,25.12,0.00
25,9.02,25.47,0.00
30,10.80,25.83,0.00
