users,throughput,avg_response,error_pct
1,0.41,31.60,0.00
2,0.77,30.40,0.00
3,1.12,29.73,0.00
5,1.84,28.92,0.00
7,2.55,28.71,0.00
10,3.62,26.30,0.00
15,5.41,26.87,0.00
20,7.22,23.40,0.00
25,9.01,23.07,0.00
30,10.78,21.69,0.00
