users,throughput,avg_response,error_pct
1,0.41,36.20,0.00
2,0.77,35.60,0.00
3,1.12,36.67,0.00
5,1.83,34.44,0.00
7,2.55,34.29,0.00
10,3.62,31.26,0.00
15,5.40,35.75,0.00
20,7.21,29.68,0.00
25,9.01,28.32,0.00
30,10.79,27.09,0.00
