users,throughput,avg_response,error_pct
1,0.41,55.60,0.00
2,0.77,32.50,0.00
3,1.12,34.47,0.00
5,1.83,34.24,0.00
7,2.55,34.91,0.00
10,3.62,34.00,0.00
15,5.39,34.08,0.00
20,7.19,30.94,0.00
25,9.02,29.86,0.00
30,10.77,26.01,0.00
